Kanton,Bevölkerung 1. Januar,Geburten,Todesfälle,Überschuss,Wanderungssaldo international 1,Wanderungssaldo interkantonal,Bevölkerung 31. Dezember,total,%,Jahr,Canton Size (km²),Abbreviation,Total,Alter 0–19,Alter 20–64,Alter 65 und mehr,Mann,Frau,Schweizer,Ausländer ,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetragener Partnerschaft,Aufgelöste Partnerschaft,Städtischer Kernraum,Einflussgebiet Stadt,Ausserhalb des Einflusses städtischer Kerne,BIP in Millionen CHF,BIP Growth Laufende Preise,BIP Growth Preise Vorjahr,BIP pro Kopf
Obwalden,37076,370,246,124,237,-28,37378,302,0.8145431007,2016,491,OW,37378,7639,23026,6713,18965,18413,31892,5486,16571,16616,1762,2400,1,27,1,10233,0,27145,2476.0583,2.34853,2.68532,66243.73428219809
Nidwalden,42420,398,296,102,197,-161,42556,136,0.3206034889,2016,276,NW,42556,7863,26417,8276,21795,20761,36521,6035,18386,18915,1978,3233,4,35,3,15891,5682,20983,3064.19211,-3.57854,-3.2442,72003.76233668577
Glarus,40028,414,370,44,257,-135,40147,119,0.2972918957,2016,685,GL,40147,7773,24584,7790,20329,19818,30650,9497,16683,17945,2329,3148,2,36,4,30572,0,9575,2718.89978,-0.63208,-0.1077,67723.61023239595
Zug,122134,1377,746,631,1016,98,123948,1814,1.4852539015,2016,239,ZG,123948,25113,78376,20459,62684,61264,89809,34139,54199,55359,4796,9359,12,206,15,113636,10312,0,19574.98598,1.72422,2.23905,157929.01845935392
Freiburg,307461,3501,2022,1479,1899,1187,311914,4453,1.4483137699,2016,1672,FR,311914,70816,193603,47495,156334,155580,242087,69827,141835,131932,13448,24230,34,385,43,103226,128666,80022,18289.33394,0.17329,0.99991,58635.822502356415
Solothurn,266418,2591,2268,323,2249,568,269441,3023,1.134683092,2016,791,SO,269441,51712,166200,51529,134300,135141,210240,59201,112377,118905,14383,23344,15,368,40,162403,69702,37336,17665.91637,0.00212,0.4221,65565.06385442453
Basel-Stadt,191817,2076,1988,88,2887,-1718,193070,1253,0.6532267734,2016,37,BS,193070,32634,121641,38795,93212,99858,124026,69044,91119,71579,10856,18773,20,652,66,193070,0,0,35204.04437,7.44606,8.65222,182338.2419329777
Basel-Landschaft,283231,2608,2432,176,1379,834,285624,2393,0.8448933909,2016,518,BL,285624,54894,169564,61166,140142,145482,221990,63634,114577,131232,15659,23510,10,589,44,194396,84267,6961,20435.72932,0.53394,1.04119,71547.66168109122
Schaffhausen,79836,758,748,10,784,114,80769,933,1.1686457237,2016,298,SH,80769,15243,48813,16713,40020,40749,59889,20880,32985,36035,4616,6996,2,125,9,46555,25971,8243,6827.35345,1.04796,2.55092,84529.3794648937
Appenzell A.Rh.,54543,586,506,80,329,-46,54954,411,0.753533909,2016,243,AR,54954,11145,33434,10375,27778,27176,46044,8910,23260,24154,2851,4604,2,80,3,15730,26328,12896,3147.8499,0.64397,1.31821,57281.54274484114
Appenzell I.Rh.,15974,186,155,31,76,-8,16003,29,0.1815450106,2016,172,AI,16003,3511,9527,2965,8237,7766,14230,1773,7311,6974,851,853,1,11,2,0,0,16003,1008.6843,1.65788,2.30171,63030.95044679123
St.Gallen,499065,5388,3845,1543,3742,-1948,502552,3487,0.6987065813,2016,2028,SG,502552,104274,309354,88924,251526,251026,382829,119723,217268,220661,24299,39721,22,519,44,348830,65680,88042,37105.30738,1.17017,1.91237,73833.76721214919
Graubünden,196610,1806,1624,182,1669,-671,197550,940,0.4781038604,2016,7105,GR,197550,36079,121002,40469,98853,98697,160932,36618,83644,87645,10710,15346,13,169,18,64339,24115,109096,14100.51146,0.63365,0.82619,71376.92462667679
Aargau,653675,6979,4761,2218,5435,2036,663462,9787,1.4972272154,2016,1404,AG,663462,134820,415503,113139,333364,330098,499712,163750,281253,299038,30097,52051,36,877,100,361839,202751,98872,42131.70882,1.2958,1.4818,63502.82129195041
Thurgau,267429,2866,1968,898,1764,590,270709,3280,1.226493761,2016,994,TG,270709,55450,169396,45863,136199,134510,204378,66331,114727,120577,12401,22625,11,333,32,125473,56391,88845,16406.11052,2.15418,2.80686,60604.230077315486
