valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,prct,inc14d,dataComplete
cases,2013-W07,iso_week,SH,canton,all,agegroup_ili_ari,all,all,2,78783,2.54,0.5,5.08,TRUE
cases,2013-W07,iso_week,SO,canton,all,agegroup_ili_ari,all,all,3,261437,1.15,0.8,3.83,TRUE
cases,2013-W07,iso_week,SZ,canton,all,agegroup_ili_ari,all,all,5,151396,3.3,1.4,7.27,TRUE
cases,2013-W07,iso_week,TG,canton,all,agegroup_ili_ari,all,all,6,260278,2.31,1.6,7.3,TRUE
cases,2013-W07,iso_week,TI,canton,all,agegroup_ili_ari,all,all,9,346539,2.6,2.4,8.08,TRUE
cases,2013-W07,iso_week,unknown,canton,all,agegroup_ili_ari,all,all,0,NA,NA,0,NA,TRUE
cases,2013-W07,iso_week,UR,canton,all,agegroup_ili_ari,all,all,1,35865,2.79,0.3,2.79,TRUE
cases,2013-W07,iso_week,VD,canton,all,agegroup_ili_ari,all,all,45,749373,6.01,12.2,12.41,TRUE
cases,2013-W07,iso_week,VS,canton,all,agegroup_ili_ari,all,all,33,327011,10.09,8.9,20.79,TRUE
cases,2013-W07,iso_week,ZG,canton,all,agegroup_ili_ari,all,all,1,118118,0.85,0.3,1.69,TRUE
cases,2013-W07,iso_week,ZH,canton,all,agegroup_ili_ari,all,all,32,1425538,2.24,8.7,3.93,TRUE
cases,2013-W08,iso_week,AG,canton,all,agegroup_ili_ari,all,all,22,636362,3.46,7.5,5.97,TRUE
cases,2013-W08,iso_week,AI,canton,all,agegroup_ili_ari,all,all,0,15778,0,0,0,TRUE
cases,2013-W08,iso_week,AR,canton,all,agegroup_ili_ari,all,all,0,53691,0,0,0,TRUE
cases,2013-W08,iso_week,BE,canton,all,agegroup_ili_ari,all,all,19,1001281,1.9,6.4,6.59,TRUE
cases,2013-W08,iso_week,BL,canton,all,agegroup_ili_ari,all,all,24,278656,8.61,8.1,13.28,TRUE
cases,2013-W08,iso_week,BS,canton,all,agegroup_ili_ari,all,all,25,189335,13.2,8.5,29.05,TRUE
cases,2013-W08,iso_week,CH,country,all,agegroup_ili_ari,all,all,295,8139631,3.62,99.7,8.16,TRUE
cases,2013-W08,iso_week,CHFL,CHFL,all,agegroup_ili_ari,all,all,296,8176573,3.62,100,8.13,TRUE
cases,2013-W08,iso_week,FL,country,all,agegroup_ili_ari,all,all,1,36942,2.71,0.3,2.71,TRUE
cases,2013-W08,iso_week,FR,canton,all,agegroup_ili_ari,all,all,3,297622,1.01,1,5.04,TRUE
cases,2013-W08,iso_week,GE,canton,all,agegroup_ili_ari,all,all,39,469433,8.31,13.2,25.14,TRUE
cases,2013-W08,iso_week,GL,canton,all,agegroup_ili_ari,all,all,0,39593,0,0,0,TRUE
cases,2013-W08,iso_week,GR,canton,all,agegroup_ili_ari,all,all,30,194959,15.39,10.2,24.11,TRUE
cases,2013-W08,iso_week,JU,canton,all,agegroup_ili_ari,all,all,2,71738,2.79,0.7,4.18,TRUE
cases,2013-W08,iso_week,LU,canton,all,agegroup_ili_ari,all,all,8,390349,2.05,2.7,3.07,TRUE
cases,2013-W08,iso_week,NE,canton,all,agegroup_ili_ari,all,all,6,176402,3.4,2,6.8,TRUE
cases,2013-W08,iso_week,NW,canton,all,agegroup_ili_ari,all,all,0,41888,0,0,2.39,TRUE
cases,2013-W08,iso_week,OW,canton,all,agegroup_ili_ari,all,all,0,36507,0,0,2.74,TRUE
